libelle_evenements,grande_categorie,code_categorie,Adresse,Numéro,categorie_nom,Nom de la structure,Code Postal,Ville,Lat,Lng,sous_categorie,refugie,asile,Sexe,family,Langues.1,Langues.2,Langues.3,code
 Atelier numérique,activite,201,"26 rue Jacques-Kellner, 75017 Paris",889,Formation numérique,Espace Publique Numérique (EPN) Cefia,75017,Paris,2.3258371,48.89624999999999,"Atelier numérique, Ordinateur, Ecrivain public, Accompagnement à l'emploi",False,False,mixte,False,français,,,75
 Atelier numérique,activite,201,"28 Rue Rebeval, 75019 Paris, France",886,Formation numérique,EPN (Espace Publique Numérique) Belleville,75019,Paris,2.377877200000057,48.87421419999999,"Atelier numérique, Ordinateur",False,False,mixte,False,français,,,75
 Atelier numérique,activite,201,"39 boulevard Davout, 75020 Paris",895,Formation numérique,Maison de la médiation numérique du 20ème,75020,Paris,2.4108899,48.8502954,"Atelier numérique, Ordinateur",True,True,mixte,False,français,,,75
 Atelier numérique,activite,201,"4 rue de Mariniers, 75014 Paris",883,Formation numérique,EPN Lorem,75014,Paris,2.310961,48.82741129999999,"Atelier numérique, Ordinateur",False,False,mixte,False,français,,,75
 Atelier numérique,activite,201,"4 Rue Georges Pitard, 75015 Paris, France",37,Formation numérique,ESI Familles Georges Pitard Emmaüs Solidarité,75015,Paris,2.3110024999999723,48.83556299999999,"Accueil de jour, Douche, Bien-être, Atelier numérique, Laverie, Formation français, Accompagnement social, Psychologie, Vêtements, Fontaine, Distribution alimentaire, Ordinateur, Permanence juridique, Accompagnement à l'emploi",False,False,mixte,True,français,,,75
 Atelier numérique,activite,201,"47 rue du Javelot, 75013 Paris",890,Formation numérique,Maison de la Médiation Numérique du 13ème,75013,Paris,2.3653868,48.82452199999999,"Atelier numérique, Ordinateur",True,True,mixte,False,français,,,75
 Atelier numérique,activite,201,"6 rue Albert-Bayet, 75013 Paris",29,Formation numérique,Antenne Bayet,75013,Paris,2.3596028,48.82989449999999,"Accueil de jour, Accompagnement à l'emploi, Ecrivain public, Formation français, Atelier numérique, Accompagnement social, Soutien scolaire, Activités, Vêtements, Colis Alimentaire",False,False,mixte,True,français,,,75
 Atelier numérique,activite,201,"6 rue Archereau, 75019 Paris",1702,Formation numérique,Emmaüs Connect,75019,Paris,2.3722667,48.8894154,"Atelier numérique, Magasin solidaire",True,True,mixte,False,français,,,75
 Atelier numérique,activite,201,"6 Rue du Tage, 75013 Paris, France",1703,Formation numérique,Emmaüs Connect,75013,Paris,2.357667499999934,48.8222882,"Atelier numérique, Magasin solidaire",True,True,mixte,False,français,,,75
 Atelier numérique,activite,201,"70 Rue des Rigoles, Paris, France",894,Formation numérique,Centre Social des Rigoles,75020,Paris,2.3911451999999827,48.8732897,"Atelier numérique, Ordinateur, Conseil administratif, Atelier numérique, Ordinateur, Accompagnement à l'emploi, Permanence juridique, Soutien scolaire, Activités, Ecrivain public, Formation français, Soutien scolaire, Permanence juridique",True,True,mixte,False,français,,,75
 Atelier numérique,activite,201,"8 place Henri-Frenay, 75011 Paris",880,Formation numérique,L'annexe - Espace Public Numérique (EPN) RELAIS 59,75012,Paris,2.3771865,48.8448851,"Atelier numérique, Ordinateur",False,False,mixte,False,français,,,75
 Activités,activites,804,"145 Rue Rateau, 93120 La Courneuve, France",3032,Formation permis de conduire,JADE - Jeunes Actions Dialogues Entreprise,93120,La Courneuve,2.4145505000000185,48.9261069,"Formation français, Activités, Chantier d'insertion, Atelier numérique",False,False,mixte,False,français,,,93
